NHP-12	DENV2	
NHP-10	CHIKV	
NHP-16	DENV3	
NHP-17	ZIKV	
NHP-14	DENV1	
NHP-15	CONTROL	
NHP-8	ZIKV	
NHP-9	DENV4	
NHP-1	ZIKV	
NHP-3	CONTROL	
NHP-5	CONTROL	
NHP-6	ZIKV
